project_type,project_type_citation,national_total_job_cost,national_total_job_cost_citation,regional_city,regional_city_citation,regional_total_job_cost,regional_total_job_cost_citation
Bathroom Addition | Midrange,https://www.jlconline.com/cost-vs-value/2025/east-north-central/appleton-wi/,60645,https://www.jlconline.com/cost-vs-value/2025/national/,"Appleton, Wisconsin",https://www.jlconline.com/cost-vs-value/2025/east-north-central/appleton-wi/,56148,https://www.jlconline.com/cost-vs-value/2025/east-north-central/appleton-wi/
Bathroom Addition | Midrange,https://www.jlconline.com/cost-vs-value/2025/east-north-central/appleton-wi/,60645,https://www.jlconline.com/cost-vs-value/2025/national/,East North Central,https://www.jlconline.com/cost-vs-value/2025/east-north-central/appleton-wi/,57427,https://www.jlconline.com/cost-vs-value/2025/east-north-central/appleton-wi/
Major Kitchen Remodel | Midrange,https://www.jlconline.com/cost-vs-value/2025/east-north-central/appleton-wi/,82793,https://www.jlconline.com/cost-vs-value/2025/national/,"Appleton, Wisconsin",https://www.jlconline.com/cost-vs-value/2025/east-north-central/appleton-wi/,83078,https://www.jlconline.com/cost-vs-value/2025/east-north-central/appleton-wi/
Major Kitchen Remodel | Midrange,https://www.jlconline.com/cost-vs-value/2025/east-north-central/appleton-wi/,82793,https://www.jlconline.com/cost-vs-value/2025/national/,East North Central,https://www.jlconline.com/cost-vs-value/2025/east-north-central/appleton-wi/,83113,https://www.jlconline.com/cost-vs-value/2025/east-north-central/appleton-wi/
Roofing Replacement | Metal,https://www.jlconline.com/cost-vs-value/2025/east-north-central/appleton-wi/,51865,https://www.jlconline.com/cost-vs-value/2025/national/,"Appleton, Wisconsin",https://www.jlconline.com/cost-vs-value/2025/east-north-central/appleton-wi/,43529,https://www.jlconline.com/cost-vs-value/2025/east-north-central/appleton-wi/
Roofing Replacement | Metal,https://www.jlconline.com/cost-vs-value/2025/east-north-central/appleton-wi/,51865,https://www.jlconline.com/cost-vs-value/2025/national/,East North Central,https://www.jlconline.com/cost-vs-value/2025/east-north-central/appleton-wi/,47473,https://www.jlconline.com/cost-vs-value/2025/east-north-central/appleton-wi/
Accessory Dwelling Unit,https://www.jlconline.com/cost-vs-value/2025/east-north-central/appleton-wi/,166406,https://www.jlconline.com/cost-vs-value/2025/national/,"Appleton, Wisconsin",https://www.jlconline.com/cost-vs-value/2025/east-north-central/appleton-wi/,149548,https://www.jlconline.com/cost-vs-value/2025/east-north-central/appleton-wi/
Accessory Dwelling Unit,https://www.jlconline.com/cost-vs-value/2025/east-north-central/appleton-wi/,166406,https://www.jlconline.com/cost-vs-value/2025/national/,East North Central,https://www.jlconline.com/cost-vs-value/2025/east-north-central/appleton-wi/,157758,https://www.jlconline.com/cost-vs-value/2025/east-north-central/appleton-wi/
HVAC Conversion | Electrification,https://www.jlconline.com/cost-vs-value/2025/east-north-central/appleton-wi/,19484,https://www.jlconline.com/cost-vs-value/2025/national/,"Appleton, Wisconsin",https://www.jlconline.com/cost-vs-value/2025/east-north-central/appleton-wi/,18068,https://www.jlconline.com/cost-vs-value/2025/east-north-central/appleton-wi/
HVAC Conversion | Electrification,https://www.jlconline.com/cost-vs-value/2025/east-north-central/appleton-wi/,19484,https://www.jlconline.com/cost-vs-value/2025/national/,East North Central,https://www.jlconline.com/cost-vs-value/2025/east-north-central/appleton-wi/,18669,https://www.jlconline.com/cost-vs-value/2025/east-north-central/appleton-wi/
Bathroom Addition | Upscale,https://www.jlconline.com/cost-vs-value/2025/east-north-central/appleton-wi/,111255,https://www.jlconline.com/cost-vs-value/2025/national/,"Appleton, Wisconsin",https://www.jlconline.com/cost-vs-value/2025/east-north-central/appleton-wi/,103772,https://www.jlconline.com/cost-vs-value/2025/east-north-central/appleton-wi/
Bathroom Addition | Upscale,https://www.jlconline.com/cost-vs-value/2025/east-north-central/appleton-wi/,111255,https://www.jlconline.com/cost-vs-value/2025/national/,East North Central,https://www.jlconline.com/cost-vs-value/2025/east-north-central/appleton-wi/,105577,https://www.jlconline.com/cost-vs-value/2025/east-north-central/appleton-wi/
Bath Remodel | Upscale,https://www.jlconline.com/cost-vs-value/2025/east-north-central/appleton-wi/,81612,https://www.jlconline.com/cost-vs-value/2025/national/,"Appleton, Wisconsin",https://www.jlconline.com/cost-vs-value/2025/east-north-central/appleton-wi/,77841,https://www.jlconline.com/cost-vs-value/2025/east-north-central/appleton-wi/
Bath Remodel | Upscale,https://www.jlconline.com/cost-vs-value/2025/east-north-central/appleton-wi/,81612,https://www.jlconline.com/cost-vs-value/2025/national/,East North Central,https://www.jlconline.com/cost-vs-value/2025/east-north-central/appleton-wi/,78684,https://www.jlconline.com/cost-vs-value/2025/east-north-central/appleton-wi/
Primary Suite Addition | Midrange,https://www.jlconline.com/cost-vs-value/2025/east-north-central/appleton-wi/,170517,https://www.jlconline.com/cost-vs-value/2025/national/,"Appleton, Wisconsin",https://www.jlconline.com/cost-vs-value/2025/east-north-central/appleton-wi/,153291,https://www.jlconline.com/cost-vs-value/2025/east-north-central/appleton-wi/
Primary Suite Addition | Midrange,https://www.jlconline.com/cost-vs-value/2025/east-north-central/appleton-wi/,170517,https://www.jlconline.com/cost-vs-value/2025/national/,East North Central,https://www.jlconline.com/cost-vs-value/2025/east-north-central/appleton-wi/,160572,https://www.jlconline.com/cost-vs-value/2025/east-north-central/appleton-wi/
Major Kitchen Remodel | Upscale,https://www.jlconline.com/cost-vs-value/2025/east-north-central/appleton-wi/,164104,https://www.jlconline.com/cost-vs-value/2025/national/,"Appleton, Wisconsin",https://www.jlconline.com/cost-vs-value/2025/east-north-central/appleton-wi/,160328,https://www.jlconline.com/cost-vs-value/2025/east-north-central/appleton-wi/
Major Kitchen Remodel | Upscale,https://www.jlconline.com/cost-vs-value/2025/east-north-central/appleton-wi/,164104,https://www.jlconline.com/cost-vs-value/2025/national/,East North Central,https://www.jlconline.com/cost-vs-value/2025/east-north-central/appleton-wi/,160333,https://www.jlconline.com/cost-vs-value/2025/east-north-central/appleton-wi/
Solar Power Installation,https://www.jlconline.com/cost-vs-value/2025/east-north-central/appleton-wi/,55937,https://www.jlconline.com/cost-vs-value/2025/national/,"Appleton, Wisconsin",https://www.jlconline.com/cost-vs-value/2025/east-north-central/appleton-wi/,49258,https://www.jlconline.com/cost-vs-value/2025/east-north-central/appleton-wi/
Solar Power Installation,https://www.jlconline.com/cost-vs-value/2025/east-north-central/appleton-wi/,55937,https://www.jlconline.com/cost-vs-value/2025/national/,East North Central,https://www.jlconline.com/cost-vs-value/2025/east-north-central/appleton-wi/,52869,https://www.jlconline.com/cost-vs-value/2025/east-north-central/appleton-wi/
Primary Suite Addition | Upscale,https://www.jlconline.com/cost-vs-value/2025/east-north-central/appleton-wi/,351613,https://www.jlconline.com/cost-vs-value/2025/national/,"Appleton, Wisconsin",https://www.jlconline.com/cost-vs-value/2025/east-north-central/appleton-wi/,315486,https://www.jlconline.com/cost-vs-value/2025/east-north-central/appleton-wi/
Primary Suite Addition | Upscale,https://www.jlconline.com/cost-vs-value/2025/east-north-central/appleton-wi/,351613,https://www.jlconline.com/cost-vs-value/2025/national/,East North Central,https://www.jlconline.com/cost-vs-value/2025/east-north-central/appleton-wi/,329084,https://www.jlconline.com/cost-vs-value/2025/east-north-central/appleton-wi/
Garage Door Replacement,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,4672,https://www.jlconline.com/cost-vs-value/2025/national/,"Boston, Massachusetts",https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,4312,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/
Garage Door Replacement,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,4672,https://www.jlconline.com/cost-vs-value/2025/national/,New England,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,4317,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/
Entry Door Replacement | Steel,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,2435,https://www.jlconline.com/cost-vs-value/2025/national/,"Boston, Massachusetts",https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,2549,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/
Entry Door Replacement | Steel,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,2435,https://www.jlconline.com/cost-vs-value/2025/national/,New England,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,2547,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/
Manufactured Stone Veneer,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,11702,https://www.jlconline.com/cost-vs-value/2025/national/,"Boston, Massachusetts",https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,13085,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/
Manufactured Stone Veneer,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,11702,https://www.jlconline.com/cost-vs-value/2025/national/,New England,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,13045,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/
Minor Kitchen Remodel | Midrange,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,28458,https://www.jlconline.com/cost-vs-value/2025/national/,"Boston, Massachusetts",https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,28991,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/
Minor Kitchen Remodel | Midrange,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,28458,https://www.jlconline.com/cost-vs-value/2025/national/,New England,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,28936,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/
Siding Replacement | Fiber-Cement,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,21485,https://www.jlconline.com/cost-vs-value/2025/national/,"Boston, Massachusetts",https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,20568,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/
Siding Replacement | Fiber-Cement,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,21485,https://www.jlconline.com/cost-vs-value/2025/national/,New England,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,20678,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/
Backup Power Generator,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,13534,https://www.jlconline.com/cost-vs-value/2025/national/,"Boston, Massachusetts",https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,14548,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/
Backup Power Generator,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,13534,https://www.jlconline.com/cost-vs-value/2025/national/,New England,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,14292,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/
Siding Replacement | Vinyl,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,17950,https://www.jlconline.com/cost-vs-value/2025/national/,"Boston, Massachusetts",https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,17523,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/
Siding Replacement | Vinyl,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,17950,https://www.jlconline.com/cost-vs-value/2025/national/,New England,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,17590,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/
HVAC Conversion | Electrification,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,19484,https://www.jlconline.com/cost-vs-value/2025/national/,"Boston, Massachusetts",https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,22446,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/
HVAC Conversion | Electrification,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,19484,https://www.jlconline.com/cost-vs-value/2025/national/,New England,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,22177,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/
Deck Addition | Composite,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,25096,https://www.jlconline.com/cost-vs-value/2025/national/,"Boston, Massachusetts",https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,25806,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/
Deck Addition | Composite,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,25096,https://www.jlconline.com/cost-vs-value/2025/national/,New England,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,25817,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/
Window Replacement | Vinyl,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,22073,https://www.jlconline.com/cost-vs-value/2025/national/,"Boston, Massachusetts",https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,21977,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/
Window Replacement | Vinyl,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,22073,https://www.jlconline.com/cost-vs-value/2025/national/,New England,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,21922,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/
Window Replacement | Wood,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,26781,https://www.jlconline.com/cost-vs-value/2025/national/,"Boston, Massachusetts",https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,27311,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/
Window Replacement | Wood,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,26781,https://www.jlconline.com/cost-vs-value/2025/national/,New England,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,27226,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/
Deck Addition | Wood,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,18263,https://www.jlconline.com/cost-vs-value/2025/national/,"Boston, Massachusetts",https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,20594,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/
Deck Addition | Wood,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,18263,https://www.jlconline.com/cost-vs-value/2025/national/,New England,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,20603,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/
Bath Remodel | Midrange,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,26138,https://www.jlconline.com/cost-vs-value/2025/national/,"Boston, Massachusetts",https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,27681,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/
Bath Remodel | Midrange,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,26138,https://www.jlconline.com/cost-vs-value/2025/national/,New England,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,27559,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/
Grand Entrance | Fiberglass,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,11754,https://www.jlconline.com/cost-vs-value/2025/national/,"Boston, Massachusetts",https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,11957,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/
Grand Entrance | Fiberglass,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,11754,https://www.jlconline.com/cost-vs-value/2025/national/,New England,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,11953,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/
Basement Remodel,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,52012,https://www.jlconline.com/cost-vs-value/2025/national/,"Boston, Massachusetts",https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,54949,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/
Basement Remodel,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,52012,https://www.jlconline.com/cost-vs-value/2025/national/,New England,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,54505,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/
Roofing Replacement | Asphalt Shingles,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,31871,https://www.jlconline.com/cost-vs-value/2025/national/,"Boston, Massachusetts",https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,35658,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/
Roofing Replacement | Asphalt Shingles,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,31871,https://www.jlconline.com/cost-vs-value/2025/national/,New England,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,35701,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/
Bath Remodel | Universal Design,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,42183,https://www.jlconline.com/cost-vs-value/2025/national/,"Boston, Massachusetts",https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,43256,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/
Bath Remodel | Universal Design,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,42183,https://www.jlconline.com/cost-vs-value/2025/national/,New England,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,43119,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/
Backyard Patio,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,51454,https://www.jlconline.com/cost-vs-value/2025/national/,"Boston, Massachusetts",https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,53526,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/
Backyard Patio,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,51454,https://www.jlconline.com/cost-vs-value/2025/national/,New England,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,53455,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/
Bathroom Addition | Midrange,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,60645,https://www.jlconline.com/cost-vs-value/2025/national/,"Boston, Massachusetts",https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,64220,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/
Bathroom Addition | Midrange,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,60645,https://www.jlconline.com/cost-vs-value/2025/national/,New England,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,63783,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/
Major Kitchen Remodel | Midrange,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,82793,https://www.jlconline.com/cost-vs-value/2025/national/,"Boston, Massachusetts",https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,84331,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/
Major Kitchen Remodel | Midrange,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,82793,https://www.jlconline.com/cost-vs-value/2025/national/,New England,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,84000,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/
Roofing Replacement | Metal,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,51865,https://www.jlconline.com/cost-vs-value/2025/national/,"Boston, Massachusetts",https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,56042,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/
Roofing Replacement | Metal,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,51865,https://www.jlconline.com/cost-vs-value/2025/national/,New England,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,56282,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/
Accessory Dwelling Unit,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,166406,https://www.jlconline.com/cost-vs-value/2025/national/,"Boston, Massachusetts",https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,175692,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/
Accessory Dwelling Unit,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,166406,https://www.jlconline.com/cost-vs-value/2025/national/,New England,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,173734,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/
Primary Suite Addition | Midrange,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,170517,https://www.jlconline.com/cost-vs-value/2025/national/,"Boston, Massachusetts",https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,183267,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/
Primary Suite Addition | Midrange,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,170517,https://www.jlconline.com/cost-vs-value/2025/national/,New England,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,181780,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/
Bath Remodel | Upscale,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,81612,https://www.jlconline.com/cost-vs-value/2025/national/,"Boston, Massachusetts",https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,84165,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/
Bath Remodel | Upscale,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,81612,https://www.jlconline.com/cost-vs-value/2025/national/,New England,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,83877,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/
Bathroom Addition | Upscale,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,111255,https://www.jlconline.com/cost-vs-value/2025/national/,"Boston, Massachusetts",https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,116910,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/
Bathroom Addition | Upscale,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,111255,https://www.jlconline.com/cost-vs-value/2025/national/,New England,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,116146,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/
Solar Power Installation,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,55937,https://www.jlconline.com/cost-vs-value/2025/national/,"Boston, Massachusetts",https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,59366,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/
Solar Power Installation,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,55937,https://www.jlconline.com/cost-vs-value/2025/national/,New England,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,58913,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/
Major Kitchen Remodel | Upscale,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,164104,https://www.jlconline.com/cost-vs-value/2025/national/,"Boston, Massachusetts",https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,173271,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/
Major Kitchen Remodel | Upscale,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,164104,https://www.jlconline.com/cost-vs-value/2025/national/,New England,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,172718,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/
Primary Suite Addition | Upscale,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,351613,https://www.jlconline.com/cost-vs-value/2025/national/,"Boston, Massachusetts",https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,379392,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/
Primary Suite Addition | Upscale,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,351613,https://www.jlconline.com/cost-vs-value/2025/national/,New England,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/,374737,https://www.jlconline.com/cost-vs-value/2025/new-england/boston-ma/
Garage Door Replacement,https://www.jlconline.com/cost-vs-value/2025/mountain/albuquerque-nm/,4672,https://www.jlconline.com/cost-vs-value/2025/national/,"Albuquerque, New Mexico",https://www.jlconline.com/cost-vs-value/2025/mountain/albuquerque-nm/,4856,https://www.jlconline.com/cost-vs-value/2025/mountain/albuquerque-nm/
Garage Door Replacement,https://www.jlconline.com/cost-vs-value/2025/mountain/albuquerque-nm/,4672,https://www.jlconline.com/cost-vs-value/2025/national/,Mountain,https://www.jlconline.com/cost-vs-value/2025/mountain/albuquerque-nm/,4968,https://www.jlconline.com/cost-vs-value/2025/mountain/albuquerque-nm/
Deck Addition | Wood,https://www.jlconline.com/cost-vs-value/2025/mountain/albuquerque-nm/,18263,https://www.jlconline.com/cost-vs-value/2025/national/,"Albuquerque, New Mexico",https://www.jlconline.com/cost-vs-value/2025/mountain/albuquerque-nm/,16345,https://www.jlconline.com/cost-vs-value/2025/mountain/albuquerque-nm/
Deck Addition | Wood,https://www.jlconline.com/cost-vs-value/2025/mountain/albuquerque-nm/,18263,https://www.jlconline.com/cost-vs-value/2025/national/,Mountain,https://www.jlconline.com/cost-vs-value/2025/mountain/albuquerque-nm/,18253,https://www.jlconline.com/cost-vs-value/2025/mountain/albuquerque-nm/
Minor Kitchen Remodel | Midrange,https://www.jlconline.com/cost-vs-value/2025/mountain/albuquerque-nm/,28458,https://www.jlconline.com/cost-vs-value/2025/national/,"Albuquerque, New Mexico",https://www.jlconline.com/cost-vs-value/2025/mountain/albuquerque-nm/,27378,https://www.jlconline.com/cost-vs-value/2025/mountain/albuquerque-nm/
Minor Kitchen Remodel | Midrange,https://www.jlconline.com/cost-vs-value/2025/mountain/albuquerque-nm/,28458,https://www.jlconline.com/cost-vs-value/2025/national/,Mountain,https://www.jlconline.com/cost-vs-value/2025/mountain/albuquerque-nm/,28490,https://www.jlconline.com/cost-vs-value/2025/mountain/albuquerque-nm/
Manufactured Stone Veneer,https://www.jlconline.com/cost-vs-value/2025/mountain/albuquerque-nm/,11702,https://www.jlconline.com/cost-vs-value/2025/national/,"Albuquerque, New Mexico",https://www.jlconline.com/cost-vs-value/2025/mountain/albuquerque-nm/,11751,https://www.jlconline.com/cost-vs-value/2025/mountain/albuquerque-nm/
Manufactured Stone Veneer,https://www.jlconline.com/cost-vs-value/2025/mountain/albuquerque-nm/,11702,https://www.jlconline.com/cost-vs-value/2025/national/,Mountain,https://www.jlconline.com/cost-vs-value/2025/mountain/albuquerque-nm/,11991,https://www.jlconline.com/cost-vs-value/2025/mountain/albuquerque-nm/
Deck Addition | Composite,https://www.jlconline.com/cost-vs-value/2025/mountain/albuquerque-nm/,25096,https://www.jlconline.com/cost-vs-value/2025/national/,"Albuquerque, New Mexico",https://www.jlconline.com/cost-vs-value/2025/mountain/albuquerque-nm/,23621,https://www.jlconline.com/cost-vs-value/2025/mountain/albuquerque-nm/
Deck Addition | Composite,https://www.jlconline.com/cost-vs-value/2025/mountain/albuquerque-nm/,25096,https://www.jlconline.com/cost-vs-value/2025/national/,Mountain,https://www.jlconline.com/cost-vs-value/2025/mountain/albuquerque-nm/,26342,https://www.jlconline.com/cost-vs-value/2025/mountain/albuquerque-nm/
Siding Replacement | Fiber-Cement,https://www.jlconline.com/cost-vs-value/2025/mountain/albuquerque-nm/,21485,https://www.jlconline.com/cost-vs-value/2025/national/,"Albuquerque, New Mexico",https://www.jlconline.com/cost-vs-value/2025/mountain/albuquerque-nm/,22427,https://www.jlconline.com/cost-vs-value/2025/mountain/albuquerque-nm/
